episode,steps,return,average_reward_per_step
702,16,5,0.3125
703,13,8,0.6153846153846154
704,17,4,0.23529411764705882
705,13,8,0.6153846153846154
706,16,-4,-0.25
707,16,5,0.3125
708,22,-10,-0.45454545454545453
709,14,7,0.5
710,14,7,0.5
711,13,8,0.6153846153846154
712,13,8,0.6153846153846154
713,15,-3,-0.2
714,10,11,1.1
715,12,9,0.75
716,14,7,0.5
717,13,8,0.6153846153846154
718,17,-5,-0.29411764705882354
719,19,-7,-0.3684210526315789
720,17,-5,-0.29411764705882354
721,9,12,1.3333333333333333
722,18,3,0.16666666666666666
723,13,-1,-0.07692307692307693
724,18,3,0.16666666666666666
725,10,11,1.1
726,23,-2,-0.08695652173913043
727,22,-10,-0.45454545454545453
728,13,8,0.6153846153846154
729,13,8,0.6153846153846154
730,14,7,0.5
731,18,3,0.16666666666666666
732,7,14,2.0
733,11,10,0.9090909090909091
734,25,-13,-0.52
735,23,-11,-0.4782608695652174
736,25,-22,-0.88
737,17,-5,-0.29411764705882354
738,14,-2,-0.14285714285714285
739,11,10,0.9090909090909091
740,15,6,0.4
741,12,0,0.0
742,16,5,0.3125
743,20,1,0.05
744,14,7,0.5
745,23,-11,-0.4782608695652174
746,12,9,0.75
747,16,-4,-0.25
748,13,-1,-0.07692307692307693
749,14,7,0.5
750,15,6,0.4
751,18,-6,-0.3333333333333333
752,17,-5,-0.29411764705882354
753,35,-14,-0.4
754,15,6,0.4
755,16,-4,-0.25
756,10,2,0.2
757,13,8,0.6153846153846154
758,21,-9,-0.42857142857142855
759,20,1,0.05
760,10,11,1.1
761,11,10,0.9090909090909091
762,12,9,0.75
763,15,6,0.4
764,20,-8,-0.4
765,18,3,0.16666666666666666
766,19,-7,-0.3684210526315789
767,16,5,0.3125
768,14,7,0.5
769,22,-19,-0.8636363636363636
770,11,10,0.9090909090909091
771,19,-7,-0.3684210526315789
772,18,3,0.16666666666666666
773,9,3,0.3333333333333333
774,12,9,0.75
775,28,-7,-0.25
776,36,-15,-0.4166666666666667
777,11,10,0.9090909090909091
778,16,5,0.3125
779,10,11,1.1
780,11,10,0.9090909090909091
781,18,-6,-0.3333333333333333
782,24,-12,-0.5
783,13,8,0.6153846153846154
784,9,12,1.3333333333333333
785,16,-4,-0.25
786,17,4,0.23529411764705882
787,12,9,0.75
788,17,4,0.23529411764705882
789,12,9,0.75
790,15,6,0.4
791,22,-1,-0.045454545454545456
792,21,-9,-0.42857142857142855
793,10,11,1.1
794,11,10,0.9090909090909091
795,12,9,0.75
796,11,1,0.09090909090909091
797,9,12,1.3333333333333333
798,11,10,0.9090909090909091
799,24,-12,-0.5
800,14,7,0.5
801,24,-3,-0.125
802,14,7,0.5
803,18,3,0.16666666666666666
804,24,-3,-0.125
805,17,4,0.23529411764705882
806,11,10,0.9090909090909091
807,22,-19,-0.8636363636363636
808,25,-22,-0.88
809,15,6,0.4
810,13,-1,-0.07692307692307693
811,15,-3,-0.2
812,24,-3,-0.125
813,30,-36,-1.2
814,18,3,0.16666666666666666
815,15,-3,-0.2
816,11,10,0.9090909090909091
817,8,13,1.625
818,14,7,0.5
819,14,-2,-0.14285714285714285
820,14,7,0.5
821,26,-14,-0.5384615384615384
822,24,-12,-0.5
823,13,8,0.6153846153846154
824,16,-4,-0.25
825,11,10,0.9090909090909091
826,17,4,0.23529411764705882
827,27,-15,-0.5555555555555556
828,12,9,0.75
829,13,8,0.6153846153846154
830,18,3,0.16666666666666666
831,18,3,0.16666666666666666
832,16,-4,-0.25
833,8,4,0.5
834,10,11,1.1
835,13,8,0.6153846153846154
836,30,-18,-0.6
837,14,-2,-0.14285714285714285
838,15,-3,-0.2
839,14,7,0.5
840,18,3,0.16666666666666666
841,20,1,0.05
842,13,8,0.6153846153846154
843,11,10,0.9090909090909091
844,11,10,0.9090909090909091
845,16,-4,-0.25
846,23,-20,-0.8695652173913043
847,7,14,2.0
848,9,12,1.3333333333333333
849,17,-14,-0.8235294117647058
850,25,-13,-0.52
851,13,-1,-0.07692307692307693
852,14,7,0.5
853,16,5,0.3125
854,20,-8,-0.4
855,13,8,0.6153846153846154
856,12,9,0.75
857,18,3,0.16666666666666666
858,18,-6,-0.3333333333333333
859,15,6,0.4
860,9,12,1.3333333333333333
861,12,9,0.75
862,33,-12,-0.36363636363636365
863,12,9,0.75
864,10,11,1.1
865,11,10,0.9090909090909091
866,7,14,2.0
867,34,-40,-1.1764705882352942
868,17,4,0.23529411764705882
869,13,-1,-0.07692307692307693
870,26,-23,-0.8846153846153846
871,15,-3,-0.2
872,19,-16,-0.8421052631578947
873,15,6,0.4
874,14,7,0.5
875,12,9,0.75
876,16,-4,-0.25
877,16,5,0.3125
878,23,-20,-0.8695652173913043
879,10,11,1.1
880,12,9,0.75
881,29,-35,-1.206896551724138
882,14,7,0.5
883,15,6,0.4
884,10,11,1.1
885,19,-7,-0.3684210526315789
886,23,-2,-0.08695652173913043
887,20,-26,-1.3
888,11,10,0.9090909090909091
889,28,-43,-1.5357142857142858
890,18,-6,-0.3333333333333333
891,18,3,0.16666666666666666
892,21,-9,-0.42857142857142855
893,13,-1,-0.07692307692307693
894,10,2,0.2
895,15,6,0.4
896,12,9,0.75
897,19,2,0.10526315789473684
898,20,-8,-0.4
899,20,-8,-0.4
900,17,4,0.23529411764705882
901,13,8,0.6153846153846154
902,26,-14,-0.5384615384615384
903,13,-10,-0.7692307692307693
904,20,1,0.05
905,14,7,0.5
906,15,6,0.4
907,14,7,0.5
908,19,-25,-1.3157894736842106
909,20,-8,-0.4
910,17,4,0.23529411764705882
911,16,5,0.3125
912,18,3,0.16666666666666666
913,11,10,0.9090909090909091
914,12,9,0.75
915,14,7,0.5
916,20,1,0.05
917,30,-27,-0.9
918,20,1,0.05
919,10,11,1.1
920,14,7,0.5
921,7,5,0.7142857142857143
922,14,-2,-0.14285714285714285
923,11,10,0.9090909090909091
924,11,10,0.9090909090909091
925,14,7,0.5
926,20,-17,-0.85
927,20,-8,-0.4
928,12,9,0.75
929,18,-6,-0.3333333333333333
930,22,-10,-0.45454545454545453
931,30,-27,-0.9
932,20,1,0.05
933,16,5,0.3125
934,6,15,2.5
935,12,9,0.75
936,11,10,0.9090909090909091
937,20,-17,-0.85
938,15,-3,-0.2
939,13,8,0.6153846153846154
940,14,7,0.5
941,12,9,0.75
942,18,-6,-0.3333333333333333
943,19,-16,-0.8421052631578947
944,15,-3,-0.2
945,10,11,1.1
946,22,-1,-0.045454545454545456
947,13,8,0.6153846153846154
948,19,2,0.10526315789473684
949,18,-15,-0.8333333333333334
