episode,steps,return,average_reward_per_step
313,93,-162,-1.7419354838709677
314,218,-377,-1.7293577981651376
315,28,-25,-0.8928571428571429
316,192,-315,-1.640625
317,130,-199,-1.5307692307692307
318,73,-124,-1.6986301369863013
319,55,-79,-1.4363636363636363
320,15,-3,-0.2
321,94,-136,-1.446808510638298
322,23,-29,-1.2608695652173914
323,117,-159,-1.358974358974359
324,227,-395,-1.7400881057268722
325,18,-24,-1.3333333333333333
326,57,-90,-1.5789473684210527
327,105,-183,-1.7428571428571429
328,104,-191,-1.8365384615384615
329,85,-109,-1.2823529411764707
330,63,-114,-1.8095238095238095
331,197,-374,-1.898477157360406
332,133,-220,-1.6541353383458646
333,29,-35,-1.206896551724138
334,12,0,0.0
335,42,-48,-1.1428571428571428
336,31,-37,-1.1935483870967742
337,50,-92,-1.84
338,193,-406,-2.1036269430051813
339,76,-91,-1.1973684210526316
340,98,-158,-1.6122448979591837
341,32,-38,-1.1875
342,166,-262,-1.5783132530120483
343,258,-444,-1.7209302325581395
344,18,-24,-1.3333333333333333
345,103,-208,-2.0194174757281553
346,27,-24,-0.8888888888888888
347,24,-12,-0.5
348,106,-220,-2.0754716981132075
349,117,-195,-1.6666666666666667
350,237,-423,-1.7848101265822784
351,76,-100,-1.3157894736842106
352,142,-337,-2.3732394366197185
353,115,-193,-1.6782608695652175
354,181,-331,-1.828729281767956
355,49,-73,-1.489795918367347
356,85,-127,-1.4941176470588236
357,58,-82,-1.4137931034482758
358,172,-313,-1.819767441860465
359,87,-129,-1.4827586206896552
360,122,-182,-1.4918032786885247
361,32,-74,-2.3125
362,105,-192,-1.8285714285714285
363,39,-54,-1.3846153846153846
364,38,-44,-1.1578947368421053
365,166,-325,-1.9578313253012047
366,47,-44,-0.9361702127659575
367,34,-31,-0.9117647058823529
368,27,-24,-0.8888888888888888
369,36,-51,-1.4166666666666667
370,94,-190,-2.021276595744681
371,132,-201,-1.5227272727272727
372,46,-61,-1.326086956521739
373,25,-22,-0.88
374,150,-246,-1.64
375,48,-72,-1.5
376,50,-56,-1.12
377,40,-73,-1.825
378,6,15,2.5
379,39,-54,-1.3846153846153846
380,65,-116,-1.7846153846153847
381,83,-134,-1.6144578313253013
382,64,-169,-2.640625
383,102,-216,-2.1176470588235294
384,38,-80,-2.1052631578947367
385,103,-217,-2.1067961165048543
386,126,-159,-1.2619047619047619
387,57,-90,-1.5789473684210527
388,73,-133,-1.821917808219178
389,31,-28,-0.9032258064516129
390,25,-22,-0.88
391,129,-171,-1.3255813953488371
392,131,-299,-2.282442748091603
393,89,-140,-1.5730337078651686
394,241,-445,-1.8464730290456433
395,126,-204,-1.619047619047619
396,22,-10,-0.45454545454545453
397,65,-80,-1.2307692307692308
398,143,-266,-1.8601398601398602
399,34,-31,-0.9117647058823529
400,107,-140,-1.308411214953271
401,25,-4,-0.16
402,60,-120,-2.0
403,41,-47,-1.146341463414634
404,19,-16,-0.8421052631578947
405,40,-46,-1.15
406,104,-191,-1.8365384615384615
407,108,-141,-1.3055555555555556
408,49,-55,-1.1224489795918366
409,22,-37,-1.6818181818181819
410,46,-61,-1.326086956521739
411,143,-221,-1.5454545454545454
412,10,2,0.2
413,193,-325,-1.6839378238341969
414,54,-78,-1.4444444444444444
415,72,-87,-1.2083333333333333
